prime_key,dataset_id,as_of_date,company_name,followers_count,employees_on_platform,link,industry,date_added,date_update,description,website,entity_id,cusip,isin
1405697,2050484,2017-10-31,Allison+Partners,14781,556,https://www.linkedin.com/company/19363,"Public Relations and Communications","2017-10-31 23:07:42+00","2017-10-31 23:07:42+00","Allison+Partners is new kind of global communications agency. With 27 offices and more than 300 employees worldwide, we’re large enough to handle complex assignments, yet small enough to be nimble in our approach. With one global P+L, we are able to put the best people on our clients’ business, regardless of location. At the core of everything we do is the belief that it is truly about the work,” – the work we do for our clients to move the needle for their businesses and the opportunities we create for our team members to work in a truly collaborative and creative environment. Allison+Partners was named Holmes Report’s 2017 "Digital Agency of the Year," 2016 “Asia Pacific Corporate Consultancy of the Year” and 2015 “Most Innovative Agency of the Year,” as well as PRWeek’s 2015 “Midsize Agency of the Year.” 

www.allisonpr.com
Twitter.com/allisonpr
Facebook.com/allisonpr
Instagram.com/Allison_PR
Google.com/+Allisonpr

Offices:
San Francisco (HQ)
New York
Phoenix
Los Angeles
Atlanta
Washington D.C.
San Diego
Seattle
Portland
Chicago
Dallas
Silicon Valley
Beijing
Shanghai
London
Paris
Lyon
Tokyo
Berlin
Munich
Sydney",,,,
1405733,2104835,2017-10-31,Vyoo.it,0,1,https://www.linkedin.com/company/6319980,"Real Estate","2017-10-31 23:36:16+00","2017-10-31 23:36:16+00",,,,,
1405865,2071755,2017-10-31,"BRT Apartments Corp.",65,10,https://www.linkedin.com/company/2203953,"Real Estate","2017-10-31 22:49:14+00","2017-10-31 22:49:14+00","BRT Apartments Corp. is a real estate investment trust (REIT). The Corporation is focused on the ownership, operation and development of multi-family properties. These activities are primarily conducted through joint ventures in which the Corporation has an equity interest in the entity owning the property. The Corporation's segments include Multi-Family Real Estate and Other Assets. The Multi-Family Real Estate segment includes the ownership, operation and development of multi-family properties.",,,,
1405915,2050004,2017-10-31,"Amber Road",15532,640,https://www.linkedin.com/company/20577,"Computer Software","2017-10-31 23:03:50+00","2017-10-31 23:03:50+00","Amber Road’s (NYSE: AMBR) mission is to improve the way companies manage their international supply chains and conduct global trade. As a leading provider of cloud based global trade management (GTM) solutions, we automate the global supply chain across sourcing, logistics, cross-border trade, and regulatory compliance activities to dramatically improve operating efficiencies and financial performance.  This includes collaborating with suppliers on development, sourcing and quality assurance; executing import and export compliance checks and generating international shipping documentation; booking international carriers and tracking goods as they move around the world; and minimizing the associated duties through preferential trade agreements and foreign trade zones.  Our solution combines enterprise-class software, trade content sourced from government agencies and transportation providers in 145 countries, and a global supply chain network connecting our customers with their trading partners, including suppliers, testing/auditing firms, freight forwarders, customs brokers and transportation carriers. We deliver our GTM solution using a Software-as-a-Service (SaaS) model and leverage a highly flexible technology framework to quickly and efficiently meet our customers’ unique requirements around the world.

For the latest updates on Global Trade Management, subscribe to our newsletter: http://info.amberroad.com/gtm.html

For more information on Amber Road, watch our overview video: http://bit.ly/1ighRyJ

To learn more about our diverse and talented team, watch our welcome video: http://bit.ly/AmberRoadWelcome",,,,
1405932,2104950,2017-10-31,"WMS Gaming",16813,880,https://www.linkedin.com/company/6067,"Gambling & Casinos","2017-10-31 23:37:12+00","2017-10-31 23:37:12+00","WMS has been a leading innovator of electronic game entertainment for more than 60 years.  With our uncompromising focus on Player Driven Innovation we combine advanced, groundbreaking technologies with engaging game content and product executions to create products that transform the player entertainment experience and elevate the casino operator's return on investment.

WMS’ core values of Innovation, Passion, Integrity, Quality and Respect have created a Culture of Innovation which fuels the imagination and creativity of our development teams and the introduction of unique, high appeal products that deliver dynamic entertainment experiences for slot players. 

Through our player-driven focus, WMS’ worldwide team of talented, creative employees produce new and differentiated gaming platforms that consistently set new standards in the industry.",,,,
1405978,2055493,2017-10-31,"Hackbright Academy",2787,78,https://www.linkedin.com/company/2669324,"Computer Software","2017-10-31 23:25:30+00","2017-10-31 23:25:30+00","Hackbright Academy is the leading engineering school for women with a mission to increase female representation in tech through education, mentorship and community. The school has a 12-week accelerated software development program designed to help women become software engineers. Graduates receive jobs at top tech companies such as Facebook, Eventbrite and New Relic.

New part-time courses have been recently launched in order to give women an opportunity to pursue their technical goals in a more flexible setting. Hackbright Academy is dedicated to changing the gender ratio in the tech industry.",,,,
1405991,2055440,2017-10-31,"Anworth Mortgage",52,11,https://www.linkedin.com/company/2258052,"Financial Services","2017-10-31 23:25:02+00","2017-10-31 23:25:02+00","Anworth Mortgage Asset Corporation is a mortgage real estate investment trust (“REIT”). Our principal business is to invest primarily in mortgage-backed securities on a leveraged basis. Income generated for distribution to our shareholders is based primarily on the difference between the yield on our mortgage assets and the cost of our borrowings. We qualify as a REIT for federal income tax purposes and are not subject to federal corporate income taxes on distributions to our stockholders. Anworth Mortgage Asset Corporation was founded in 1997.",,,,
1406180,2105296,2017-10-31,"Charmin Paper Products Co",10,4,https://www.linkedin.com/company/8084725,"Consumer Goods","2017-10-31 23:39:59+00","2017-10-31 23:39:59+00",,,,,
1406412,2180085,2017-11-01,RateWatch,144,40,https://www.linkedin.com/company/1459519,Research,"2017-11-01 09:18:00+00","2017-11-01 09:18:00+00","For 25 years, RateWatch has provided competitor comparison data to financial institutions throughout the United States. The original core business of identifying deposit and loan interest rates for retail and business products has created the largest interest rate database in the industry containing information for more than 97,000 financial institution locations. 

The company has diversified to offer retail, cash management and loan fee comparisons, full product line reviews, financial strength comparisons, market share analysis, hot-topic industry wide surveys, mystery shopping services and much more. 

5,000 Banks and Credit Unions of all sizes rely on this stream of relevant, reliable information to provide them with a full understanding of their local and regional markets and assist in their pricing, product and service decisions.  RateWatch’s sales and customer service representatives work with clients to understand their range of needs and develop a product that not only captures the competitors’ data, but becomes an essential tool in the clients’ pricing decisions.  Attention to detail and a multitude of quality checks and edits ensure research and reports are dependable and accurate.  Government Agencies and prestigious universities also trust RateWatch data for their research of current and historical trends.",,,,
1406432,2181923,2017-11-01,"Michigan's Adventure",155,64,https://www.linkedin.com/company/1407296,"Leisure, Travel & Tourism","2017-11-01 10:07:48+00","2017-11-01 10:07:48+00","Michigan's largest amusement park and water park offering over 60 rides and attractions, including Shivering Timbers, Thunderhawk, Funnel of Fear and three wave pools.  Two great parks, one low price!",,,,
1406435,2184025,2017-11-01,"Ralph L Wadsworth Construction Company",1153,129,https://www.linkedin.com/company/1320522,Construction,"2017-11-01 09:13:35+00","2017-11-01 09:13:35+00","Ralph L. Wadsworth Construction Company, LLC (RLW) builds multi-million dollar projects throughout the Intermountain West for both the public and private sectors. Founded in 1975 by its namesake, the company is now run by the second-generation sons: Con, President and Tod, Vice President as well as Brandon Squire, Executive Vice President. RLW has experienced exceptional growth and expanded into increasing larger and more complicated projects. These include design-build, Construction Management / General Contractor and traditional design-bid-build projects throughout the western states.
 
In 2009, the company was purchased by Sterling Construction Company out of Houston, Texas.  This strategic purchase allows for increased market share for all Sterling subsidiaries that includes Arizona, California, Colorado, Idaho, Minnesota, Montana, Nevada, Texas, Washington and Wyoming.  Sterling is ranked 91 by the ENR Top 400 Contractors, 16 of the Top 20 Transportation Contractors and 15 of the Top 50 Domestic Contractor for 2010.  Con, Brandon, and Tod continue to operate Ralph L. Wadsworth Construction and provide the continuity to maintain the growth and innovation for which the company is known.",,,,
1406475,2126235,2017-11-01,"Non - Jazz",5256,3240,https://www.linkedin.com/company/542528,Music,"2017-11-01 03:13:44+00","2017-11-01 03:13:44+00","We make concerts, promote Jazz & Improvised music.

Teaching music, Electric guitar, Acoustic guitar, Piano, Harmony, Analysis, Dictation, Improvisation, Composition (both for Jazz and classical), Counterpoint, Jazz history, Music history, Ensemble instruction, Arranging,  Orchestration, Live recording techniques, Music edition and mastering, Music notation, Music theory, Graphic scoring, Jazz styles, music philosophy,  Band couching, seminars, workshops presence lessons and also on line by skype.

We recorded all kind live events, mixing and mastering.

Create and make every year the International Jazz Musicians Meeting.

And make concerts Non - Jazz as a band.

ADMINISTRATIVE EXPERIENCE

1.- Music director of Non – Jazz Records and the private school (1994-Current).

2.- Artistic director of the International Musicians Meeting in México (2002-Current).

3.- Producer for Radio Nuevo Leon a public broadcasting in México (1993-2013).",,,,
1406481,2114424,2017-11-01,"Sears, Roebuck and Co.",29457,7289,https://www.linkedin.com/company/1942,Retail,"2017-11-01 04:08:03+00","2017-11-01 04:08:03+00","Sears, Roebuck and Co., a wholly owned subsidiary of Sears Holdings Corporation (NASDAQ: SHLD), is a leading broadline retailer providing merchandise and related services. Sears, Roebuck offers its wide range of home merchandise, apparel and automotive products and services through more than 2,700 Sears-branded and affiliated stores in the United States and Canada, which includes over 890 full-line and more than 1,350 specialty stores in the U.S. Sears, Roebuck also offers a variety of merchandise and services through sears.com, landsend.com, and specialty catalogs. Sears, Roebuck offers consumers leading proprietary brands including Kenmore, Craftsman, DieHard and Lands'​ End -- among the most trusted and preferred brands in the U.S. Sears, Roebuck is the 2011 ENERGY STAR® Retail Partner of the Year. The company is the nation's largest provider of home services, with more than 11 million service calls made annually.",,,,
1406591,2193491,2017-11-01,"Crestwood Midstream Partners LP",18769,588,https://www.linkedin.com/company/1325883,"Oil & Energy","2017-11-01 09:49:53+00","2017-11-01 09:49:53+00","Crestwood Equity Partners LP (NYSE: CEQP) is a publicly traded master limited partnership that owns and operates midstream assets located primarily in the Marcellus Shale, Bakken Shale, Delaware Permian Basin, PRB Niobrara Shale, Barnett Shale and Fayetteville Shale. Our operations and financial results are divided into three segments that include Gathering & Processing, Storage & Transportation and Marketing, Supply & Logistics. Across our three segments Crestwood is engaged in the gathering, processing, treating, compression, storage and transportation of natural gas; storage, transportation, terminalling and marketing of NGLs; gathering, storage, transportation, terminalling and marketing of crude oil.
 
Our goal is to create long-term value for our unit holders by delivering increasing cash distributions through organic expansion, development projects and acquisitions, while at the same time ensuring the ongoing stability of our business. We aim to provide the highest quality of customer service while maintaining focus on safety, compliance and the environment.",,,,
1406668,2197045,2017-11-01,"PICO Holdings, Inc.",114,21,https://www.linkedin.com/company/1375955,"Investment Management","2017-11-01 08:04:41+00","2017-11-01 08:04:41+00",,,,,
1406718,2073146,2017-11-01,"S&P Global Market Intelligence",67638,18124,https://www.linkedin.com/company/162892,"Financial Services","2017-11-01 03:07:55+00","2017-11-01 03:07:55+00","At S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep and insightful. We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuation and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction.

S&P Global Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit www.spglobal.com/marketintelligence. Disclosures: http://bit.ly/1vLpWhX",,,,
1406722,2024894,2017-11-01,"Jack Welch Management Institute",41402,155,https://www.linkedin.com/company/2186104,"Higher Education","2017-11-01 01:32:57+00","2017-11-01 01:32:57+00","JACK WELCH MANAGEMENT INSTITUTE

Recently named the number one most influential education brand on Linkedin and one of the top business schools to watch in 2016, The Jack Welch Management Institute transforms the lives of its students by giving them the tools to become better leaders, build great teams and help their organizations win.",,,,
1406747,2137967,2017-11-01,"KNOT OFFSHORE PARTNERS UK LLC",28,0,https://www.linkedin.com/company/8168257,Maritime,"2017-11-01 05:05:17+00","2017-11-01 05:05:17+00",,,,,
